date,time,age,confirmed,deceased
2020.3.23,0,60s,1139,18
2020.3.23,0,70s,599,38
2020.3.23,0,80s,396,46
2020.3.24,0,0s,105,0
2020.3.24,0,10s,468,0
2020.3.24,0,20s,2438,0
2020.3.24,0,30s,921,1
2020.3.24,0,40s,1234,1
2020.3.24,0,50s,1716,8
2020.3.24,0,60s,1146,20
2020.3.24,0,70s,608,38
2020.3.24,0,80s,401,52
2020.3.25,0,0s,105,0
2020.3.25,0,10s,475,0
2020.3.25,0,20s,2473,0
2020.3.25,0,30s,943,1
2020.3.25,0,40s,1246,1
2020.3.25,0,50s,1724,10
2020.3.25,0,60s,1154,20
2020.3.25,0,70s,611,39
2020.3.25,0,80s,406,55
2020.3.26,0,0s,106,0
2020.3.26,0,10s,488,0
2020.3.26,0,20s,2508,0
2020.3.26,0,30s,955,1
2020.3.26,0,40s,1252,1
2020.3.26,0,50s,1738,10
2020.3.26,0,60s,1162,20
2020.3.26,0,70s,616,41
2020.3.26,0,80s,416,58
2020.3.27,0,0s,108,0
2020.3.27,0,10s,496,0
2020.3.27,0,20s,2532,0
2020.3.27,0,30s,960,1
2020.3.27,0,40s,1256,1
2020.3.27,0,50s,1752,10
2020.3.27,0,60s,1170,21
2020.3.27,0,70s,630,41
2020.3.27,0,80s,428,65
2020.3.28,0,0s,109,0
2020.3.28,0,10s,501,0
2020.3.28,0,20s,2567,0
2020.3.28,0,30s,978,1
2020.3.28,0,40s,1278,1
2020.3.28,0,50s,1780,10
2020.3.28,0,60s,1201,21
2020.3.28,0,70s,632,41
2020.3.28,0,80s,432,70
2020.3.29,0,0s,111,0
2020.3.29,0,10s,508,0
2020.3.29,0,20s,2602,0
2020.3.29,0,30s,993,1
2020.3.29,0,40s,1292,1
2020.3.29,0,50s,1798,10
2020.3.29,0,60s,1210,21
2020.3.29,0,70s,635,43
2020.3.29,0,80s,434,76
2020.3.30,0,0s,112,0
2020.3.30,0,10s,513,0
2020.3.30,0,20s,2630,0
2020.3.30,0,30s,1002,1
2020.3.30,0,40s,1297,1
2020.3.30,0,50s,1812,10
2020.3.30,0,60s,1218,21
2020.3.30,0,70s,640,45
2020.3.30,0,80s,437,80
2020.3.31,0,0s,112,0
2020.3.31,0,10s,515,0
2020.3.31,0,20s,2656,0
2020.3.31,0,30s,1012,1
2020.3.31,0,40s,1312,1
2020.3.31,0,50s,1851,10
2020.3.31,0,60s,1235,22
2020.3.31,0,70s,651,46
2020.3.31,0,80s,442,82
2020.4.1,0,0s,116,0
2020.4.1,0,10s,519,0
2020.4.1,0,20s,2682,0
2020.4.1,0,30s,1027,1
2020.4.1,0,40s,1323,1
2020.4.1,0,50s,1865,10
2020.4.1,0,60s,1245,23
2020.4.1,0,70s,658,46
2020.4.1,0,80s,452,84
2020.4.2,0,0s,119,0
2020.4.2,0,10s,522,0
2020.4.2,0,20s,2704,0
2020.4.2,0,30s,1043,1
2020.4.2,0,40s,1336,2
2020.4.2,0,50s,1878,11
2020.4.2,0,60s,1258,23
2020.4.2,0,70s,663,47
2020.4.2,0,80s,453,85
2020.4.3,0,0s,121,0
2020.4.3,0,10s,528,0
2020.4.3,0,20s,2734,0
2020.4.3,0,30s,1052,1
2020.4.3,0,40s,1350,2
2020.4.3,0,50s,1887,12
2020.4.3,0,60s,1266,24
2020.4.3,0,70s,668,49
2020.4.3,0,80s,456,86
2020.4.4,0,0s,122,0
2020.4.4,0,10s,530,0
2020.4.4,0,20s,2761,0
2020.4.4,0,30s,1066,1
2020.4.4,0,40s,1358,2
2020.4.4,0,50s,1898,12
2020.4.4,0,60s,1282,25
2020.4.4,0,70s,678,50
2020.4.4,0,80s,461,87
2020.4.5,0,0s,124,0
2020.4.5,0,10s,535,0
2020.4.5,0,20s,2789,0
2020.4.5,0,30s,1083,1
2020.4.5,0,40s,1370,2
2020.4.5,0,50s,1904,13
2020.4.5,0,60s,1289,25
2020.4.5,0,70s,681,51
2020.4.5,0,80s,462,91
2020.4.6,0,0s,126,0
2020.4.6,0,10s,542,0
2020.4.6,0,20s,2804,0
2020.4.6,0,30s,1086,1
2020.4.6,0,40s,1375,2
2020.4.6,0,50s,1906,13
2020.4.6,0,60s,1294,26
2020.4.6,0,70s,686,52
2020.4.6,0,80s,465,92
2020.4.7,0,0s,126,0
2020.4.7,0,10s,544,0
2020.4.7,0,20s,2819,0
2020.4.7,0,30s,1092,1
2020.4.7,0,40s,1382,2
2020.4.7,0,50s,1909,13
2020.4.7,0,60s,1304,26
2020.4.7,0,70s,689,57
2020.4.7,0,80s,466,93
2020.4.8,0,0s,126,0
2020.4.8,0,10s,548,0
2020.4.8,0,20s,2832,0
2020.4.8,0,30s,1102,1
2020.4.8,0,40s,1387,3
2020.4.8,0,50s,1915,13
2020.4.8,0,60s,1312,27
2020.4.8,0,70s,692,60
2020.4.8,0,80s,470,96
