"","0s","10s","20s","30s","40s","50s","60s","70s","80s"
"2020-06-29",16,60,282,125,141,190,137,65,35
"2020-06-30",16,56,264,117,132,178,128,61,33
"2020-07-01",15,54,256,115,128,174,125,59,32
"2020-07-02",15,53,251,113,125,171,123,59,32
"2020-07-03",15,53,248,112,124,169,121,58,31
"2020-07-04",15,54,250,114,125,171,123,58,32
"2020-07-05",16,56,260,118,131,178,128,61,33
"2020-07-06",17,57,267,122,134,183,132,63,34
"2020-07-07",16,56,261,120,131,179,129,61,33
"2020-07-08",16,56,263,121,133,180,130,62,33
"2020-07-09",16,56,262,121,133,179,129,62,33
"2020-07-10",17,56,261,121,133,179,129,61,33
"2020-07-11",16,54,250,115,127,171,123,59,31
"2020-07-12",16,54,251,117,128,173,124,59,32
"2020-07-13",17,57,261,122,133,178,129,61,33
"2020-07-14",16,54,249,116,126,170,123,59,31
"2020-07-15",16,52,241,113,123,166,120,57,30
"2020-07-16",16,53,244,115,125,167,121,57,31
"2020-07-17",16,52,242,115,124,166,120,57,30
"2020-07-18",16,51,237,112,122,162,117,56,30
"2020-07-19",16,51,235,112,121,161,117,55,29
"2020-07-20",17,52,238,113,122,163,118,56,30
"2020-07-21",16,50,231,110,119,158,114,54,29
"2020-07-22",16,51,232,111,120,159,115,55,29
"2020-07-23",16,51,232,111,120,159,115,55,29
"2020-07-24",16,50,227,108,117,156,113,54,29
"2020-07-25",17,53,242,118,127,167,121,57,31
"2020-07-26",17,55,250,123,132,173,125,59,32
"2020-07-27",18,55,253,124,133,175,126,60,32
"2020-07-28",16,51,233,115,123,161,116,55,29
